Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18
0.158971679,0.646019824,0.977604501,0.392389444,0.030622039,0.982922142,0.361637597,0.389238367,0.64332144,0.682010594,0.847019991,0.314665068,0.422027653,0.050376638,0.133613226,0.163336032,0.538348725,0.85020338
0.333503179,0.556254288,0.132221051,0.787093279,0.830823114,0.126689545,0.205380691,0.956711996,0.371950381,0.846253119,0.609815594,0.598797886,0.250397137,0.562047047,0.157427383,0.588615322,0.365077734,0.789415385
0.355108873,0.137598386,0.262699504,0.406486786,0.315148909,0.260724918,0.314759737,0.858809013,0.630199615,0.585156076,0.821409382,0.273136339,0.303905173,0.90598047,0.983950921,0.770454601,0.97886432,0.791718869
0.250337316,0.003161841,0.200101132,0.276046013,0.486609269,0.850933736,0.383872504,0.409892004,0.942912658,0.805411627,0.746623414,0.880503779,0.02487866,0.295069389,0.895098305,0.46837444,0.502175454,0.68297521
0.45139231,0.022496948,0.95423874,0.75502884,0.725667711,0.64312485,0.776028384,0.020327581,0.936176308,0.302220616,0.798667679,0.709948473,0.724464241,0.293594458,0.946982948,0.289818723,0.505056044,0.319503775
0.761088478,0.350765079,0.902920229,0.411058178,0.993560249,0.10343888,0.076866209,0.701972046,0.671901516,0.570122085,0.383034058,0.059155999,0.686562787,0.235766182,0.533741837,0.452001937,0.288895848,0.882506123
0.717652234,0.382511238,0.721211799,0.426852555,0.70014336,0.687699781,0.192929445,0.887345502,0.562829216,0.178341624,0.275757975,0.741146806,0.610151722,0.864966366,0.27325953,0.350664436,0.143742581,0.477485348
0.550630071,0.314525814,0.618761054,0.169421923,0.171317991,0.821641067,0.961606985,0.300789267,0.739714259,0.473541919,0.00378826,0.655169947,0.012441608,0.344897969,0.738284887,0.997932887,0.200918369,0.869940809
0.658265013,0.044131341,0.145283638,0.893450224,0.097002603,0.569025471,0.842771312,0.436468527,0.690133535,0.403007373,0.981561968,0.97012361,0.478032233,0.944761551,0.813540425,0.09173265,0.767905677,0.372070769
0.61856096,0.582646454,0.776430678,0.164738166,0.458805036,0.630473638,0.653672778,0.192439816,0.510002273,0.743499455,0.543249162,0.134136678,0.672016365,0.248394164,0.757910815,0.611603449,0.586897961,0.923441032
0.974512058,0.582916741,0.075732888,0.647267502,0.390376775,0.578331817,0.179297869,0.849004968,0.79718461,0.361001963,0.298802018,0.365363244,0.324313807,0.197068482,0.344421213,0.024669277,0.022001754,0.802917324
0.947631539,0.03743907,0.599620205,0.141195903,0.626341264,0.371758773,0.99266316,0.50161775,0.445081009,0.560599073,0.582994103,0.063699044,0.185532942,0.723055992,0.184312512,0.767656817,0.680503573,0.845603195
